 [-1.57026694e-01  1.68290898e+00]
 [-1.36324414e-01  1.67088848e+00]
 [-1.15886003e-01  1.65808509e+00]
 [-9.55421450e-02  1.64122397e+00]
 [-7.61656186e-02  1.63613181e+00]
 [-5.64628247e-02  1.61769935e+00]
 [-3.75485387e-02  1.61405167e+00]
 [-1.88419570e-02  1.62008988e+00]
 [-2.95655855e-09  1.58729029e+00]
 [ 1.87940836e-02  1.61597410e+00]
 [ 3.70494921e-02  1.59260004e+00]
 [ 5.50905509e-02  1.57838291e+00]
 [ 7.36406622e-02  1.58189274e+00]
 [ 9.08974497e-02  1.56143744e+00]
 [ 1.10709750e-01  1.58402388e+00]
 [ 1.28049188e-01  1.56946154e+00]
 [ 1.44380635e-01  1.54737689e+00]
 [ 1.62507176e-01  1.54693762e+00]
 [ 1.80897581e-01  1.54846496e+00]
 [ 1.95917890e-01  1.52312652e+00]
 [ 2.14910129e-01  1.52994596e+00]
 [ 2.30392625e-01  1.51227687e+00]
 [ 2.43942209e-01  1.48501284e+00]
 [ 2.62129935e-01  1.48737754e+00]
 [ 2.80954873e-01  1.49243747e+00]
 [ 2.97761355e-01  1.48642007e+00]
 [ 3.14783834e-01  1.48171029e+00]
 [ 3.30290860e-01  1.47036762e+00]
 [ 3.47929041e-01  1.46879546e+00]
 [ 3.64792188e-01  1.46386925e+00]
 [ 3.78872448e-01  1.44836908e+00]
 [ 3.92648951e-01  1.43276655e+00]
 [ 4.10323786e-01  1.43172931e+00]
 [ 4.35196622e-01  1.45443372e+00]
 [ 4.41855276e-01  1.41649160e+00]
 [ 4.57372222e-01  1.40840543e+00]
 [ 4.77421403e-01  1.41395285e+00]
 [ 4.87669196e-01  1.39072854e+00]
 [ 5.05796358e-01  1.39042486e+00]
 [ 5.22555224e-01  1.38610194e+00]
 [ 5.33686893e-01  1.36724339e+00]
 [ 5.54334048e-01  1.37278946e+00]
 [ 5.70895913e-01  1.36777051e+00]
 [ 5.96218494e-01  1.38296998e+00]
 [ 6.11748497e-01  1.37479038e+00]
 [ 6.23929137e-01  1.35937804e+00]
 [ 6.44241562e-01  1.36163811e+00]
 [ 6.50242613e-01  1.33396889e+00]
 [ 6.72664219e-01  1.34016804e+00]
 [ 6.85201741e-01  1.32644266e+00]
 [ 6.96493087e-01  1.31069139e+00]
 [ 7.22517946e-01  1.32232248e+00]
 [ 7.35197318e-01  1.30911267e+00]
 [ 7.50732066e-01  1.30109861e+00]
 [ 7.67449435e-01  1.29504266e+00]
 [ 7.81765244e-01  1.28489133e+00]
 [ 7.87630396e-01  1.26126171e+00]
 [ 8.16518358e-01  1.27429256e+00]
 [ 8.32848427e-01  1.26709331e+00]
 [ 8.44698276e-01  1.25312467e+00]
 [ 8.64509963e-01  1.25087909e+00]
 [ 8.84983657e-01  1.24918907e+00]
 [ 8.88993763e-01  1.22440984e+00]
 [ 9.09028872e-01  1.22185994e+00]
 [ 9.43850980e-01  1.23833018e+00]
 [ 9.39842399e-01  1.20377229e+00]
 [ 9.72385097e-01  1.21603046e+00]
 [ 9.73678090e-01  1.18902976e+00]
 [ 1.00691930e+00  1.20085722e+00]
 [ 1.02348098e+00  1.19216983e+00]
 [ 1.03829151e+00  1.18134217e+00]
 [ 1.04015397e+00  1.15606635e+00]
 [ 1.07266426e+00  1.16466943e+00]
 [ 1.09505319e+00  1.16157497e+00]
 [ 1.10861396e+00  1.14889259e+00]
 [ 1.11916731e+00  1.13315561e+00]
 [ 1.14532221e+00  1.13297568e+00]
 [ 1.15483799e+00  1.11611717e+00]
 [ 3.97407056e-01  3.75242571e-01]
 [ 3.78194513e-01  3.48871938e-01]
 [ 3.62551427e-01  3.26719962e-01]
 [ 3.56933899e-01  3.14213219e-01]
 [ 3.76597740e-01  3.23828214e-01]
 [ 3.57229104e-01  3.00018553e-01]
 [ 3.48666709e-01  2.85979042e-01]
 [ 3.65748288e-01  2.92941341e-01]
 [ 3.77317950e-01  2.95071031e-01]
 [ 3.32173404e-01  2.53597267e-01]
 [ 3.48342219e-01  2.59585168e-01]
 [ 3.46665934e-01  2.52119132e-01]
 [ 3.56398651e-01  2.52913235e-01]
 [ 3.64354810e-01  2.52239908e-01]
 [ 3.62426314e-01  2.44719384e-01]
 [ 3.54467318e-01  2.33389936e-01]
 [ 3.57228159e-01  2.29297243e-01]
 [ 3.74791556e-01  2.34461624e-01]
 [ 3.59324369e-01  2.19013218e-01]
 [ 3.51397317e-01  2.08615922e-01]
 [ 3.72923494e-01  2.15569896e-01]
 [ 3.62072373e-01  2.03716829e-01]]
[[-1.86621868e+00  1.10792800e+00]
 [-1.86946321e+00  1.13946391e+00]
 [-1.83350682e+00  1.14700285e+00]
 [-1.79694077e+00  1.15341848e+00]
 [-1.79397175e+00  1.18119479e+00]
 [-1.77281222e+00  1.19704749e+00]
 [-1.74501987e+00  1.20806323e+00]
 [-1.72722133e+00  1.22569805e+00]
 [-1.71991582e+00  1.25084018e+00]
 [-1.70010352e+00  1.26691980e+00]
 [-1.66366648e+00  1.27012357e+00]
 [-1.63797440e+00  1.28093241e+00]
 [-1.62514829e+00  1.30164141e+00]
 [-1.61505659e+00  1.32468148e+00]
 [-1.60128897e+00  1.34484114e+00]
 [-1.56711246e+00  1.34752595e+00]
 [-1.56303179e+00  1.37595574e+00]
 [-1.52787082e+00  1.37686920e+00]
 [-1.51450789e+00  1.39708346e+00]
 [-1.49627926e+00  1.41282764e+00]
 [-1.47683793e+00  1.42732070e+00]
 [-1.45962373e+00  1.44388903e+00]
 [-1.43509326e+00  1.45303026e+00]
 [-1.41328091e+00  1.46462882e+00]
 [-1.39958117e+00  1.48460226e+00]
 [-1.37721959e+00  1.49534724e+00]
 [-1.37138095e+00  1.52420449e+00]
 [-1.34578491e+00  1.53120048e+00]
 [-1.32858256e+00  1.54755786e+00]
 [-1.28612620e+00  1.53384082e+00]
 [-1.24271865e+00  1.51757492e+00]
 [-1.19254932e+00  1.49136005e+00]
 [-1.15502995e+00  1.47938957e+00]
 [-1.10388425e+00  1.44829343e+00]
 [-1.07860384e+00  1.44979203e+00]
 [-1.03012606e+00  1.41879115e+00]
 [-1.01157582e+00  1.42787886e+00]
 [-9.65316784e-01  1.39673875e+00]
 [-9.30329808e-01  1.38016054e+00]
 [-9.11494556e-01  1.38674531e+00]
 [-8.77163172e-01  1.36893738e+00]
 [-8.48107550e-01  1.35810600e+00]
 [-8.26519232e-01  1.35844794e+00]
 [-7.86424409e-01  1.32706222e+00]
 [-7.62675495e-01  1.32179783e+00]
 [-7.49555056e-01  1.33467844e+00]
 [-7.37369234e-01  1.34950268e+00]
 [-7.16285981e-01  1.34793852e+00]
 [-7.06567279e-01  1.36780297e+00]
 [-6.88773937e-01  1.37226388e+00]
 [-6.71176361e-01  1.37691434e+00]
 [-6.61168926e-01  1.39741496e+00]
 [-6.37106680e-01  1.38808844e+00]
 [-6.34639071e-01  1.42623265e+00]
 [-6.14704644e-01  1.42584986e+00]
 [-6.10338325e-01  1.46226788e+00]
 [-5.84330695e-01  1.44707512e+00]
 [-5.72300180e-01  1.46616610e+00]
 [-5.53413441e-01  1.46795478e+00]
 [-5.41843382e-01  1.48951745e+00]
 [-5.27338471e-01  1.50385684e+00]
 [-5.12688300e-01  1.51840087e+00]
 [-4.92042368e-01  1.51516665e+00]
 [-4.78590698e-01  1.53425733e+00]
 [-4.65571459e-01  1.55594686e+00]
 [-4.48038571e-01  1.56332625e+00]
 [-4.33693408e-01  1.58253676e+00]
 [-4.16485016e-01  1.59215592e+00]
 [-4.00969161e-01  1.60904328e+00]
 [-3.82358923e-01  1.61414246e+00]
 [-3.66005506e-01  1.62935976e+00]
 [-3.50754074e-01  1.65102478e+00]
 [-3.31850073e-01  1.65659039e+00]
 [-3.18192981e-01  1.69024695e+00]
 [-2.99062340e-01  1.69693933e+00]
 [-2.77653963e-01  1.69023513e+00]
 [-2.55263625e-01  1.67552788e+00]
 [-2.34860513e-01  1.67197277e+00]
 [-2.15324101e-01  1.67399639e+00]
 [-1.93004558e-01  1.65209941e+00]
